feature,coef,importance
1,0.0,
t10_ldb_col_p,2.727995091833212,0.21398478857266084
t10_ldb_col_p^2,-0.9667667226308799,
t10_ldb_hinci_m,2.770556465644568,0.3383217560305577
t10_ldb_hinci_m t10_ldb_col_p,-1.1207886653774122,
t10_ldb_hinci_m t10_ldb_hisp_p,-0.01933566294791582,
t10_ldb_hinci_m t10_ldb_nhblk_p,0.3326060812633773,
t10_ldb_hinci_m t10_ldb_pop_d,0.1397603748102688,
t10_ldb_hinci_m^2,-0.9714075105621574,
t10_ldb_hisp_p,-0.26873743677721096,0.07926956810066035
t10_ldb_hisp_p t10_ldb_col_p,0.11652797343210665,
t10_ldb_hisp_p^2,0.7103706890975824,
t10_ldb_nhblk_p,-2.22694372848592,0.09079547967818806
t10_ldb_nhblk_p t10_ldb_col_p,-0.04225963858596057,
t10_ldb_nhblk_p t10_ldb_hisp_p,0.311891773598403,
t10_ldb_nhblk_p^2,1.0192570472736338,
t10_ldb_pop_d,0.5999474235678822,0.021235657823684483
t10_ldb_pop_d t10_ldb_col_p,-0.3829503608237973,
t10_ldb_pop_d t10_ldb_hisp_p,-0.1938727085335401,
t10_ldb_pop_d t10_ldb_nhblk_p,-0.08270168700626704,
t10_ldb_pop_d^2,0.05870724934838644,
