feature,coef,importance
1,0.0,
t10_net_act_d,0.0,6.232376023203034e-05
t10_net_act_d t10_net_amb_d,-0.0,
t10_net_act_d t10_net_apa_d,-0.0,
t10_net_act_d t10_net_aur_d,-0.0,
t10_net_act_d t10_net_bar_d,0.0,
t10_net_act_d t10_net_cer_d,-0.0,
t10_net_act_d t10_net_dra_d,-0.0,
t10_net_act_d t10_net_ffa_d,-0.0,
t10_net_act_d t10_net_fin_d,-0.0,
t10_net_act_d t10_net_fsa_d,-0.0,
t10_net_act_d t10_net_fsr_d,-0.0,
t10_net_act_d t10_net_hoi_d,-0.0,
t10_net_act_d t10_net_hsr_d,-0.0,
t10_net_act_d t10_net_kct_d,-0.0,
t10_net_act_d t10_net_liq_d,-0.0,
t10_net_act_d t10_net_mul_d,-0.0,
t10_net_act_d t10_net_ngt_d,0.0,
t10_net_act_d t10_net_pht_d,-0.015543625928840349,
t10_net_act_d t10_net_res_d,-0.0,
t10_net_act_d t10_net_srv_d,0.0,
t10_net_act_d t10_net_wal_d,-0.0,
t10_net_act_d^2,-0.0,
t10_net_amb_d,0.49272405479130776,0.020225848625977604
t10_net_amb_d t10_net_apa_d,-0.0,
t10_net_amb_d t10_net_aur_d,-0.0,
t10_net_amb_d t10_net_bar_d,0.0,
t10_net_amb_d t10_net_cer_d,-0.06889954462174835,
t10_net_amb_d t10_net_dra_d,-0.0,
t10_net_amb_d t10_net_ffa_d,-0.0,
t10_net_amb_d t10_net_fin_d,-0.0,
t10_net_amb_d t10_net_fsa_d,-0.0,
t10_net_amb_d t10_net_fsr_d,-0.0,
t10_net_amb_d t10_net_hoi_d,-0.0,
t10_net_amb_d t10_net_hsr_d,-0.0,
t10_net_amb_d t10_net_kct_d,-0.0,
t10_net_amb_d t10_net_liq_d,-0.0,
t10_net_amb_d t10_net_mul_d,-0.0,
t10_net_amb_d t10_net_ngt_d,0.0,
t10_net_amb_d t10_net_pht_d,-0.009876156408933075,
t10_net_amb_d t10_net_res_d,-0.0,
t10_net_amb_d t10_net_srv_d,0.0,
t10_net_amb_d t10_net_wal_d,-0.0,
t10_net_amb_d^2,-0.14613176869536496,
t10_net_apa_d,1.2141771010397673,0.1156170052794171
t10_net_apa_d t10_net_aur_d,-0.0,
t10_net_apa_d t10_net_bar_d,-0.0,
t10_net_apa_d t10_net_cer_d,-0.016758003726323533,
t10_net_apa_d t10_net_dra_d,-0.06210951045218252,
t10_net_apa_d t10_net_ffa_d,-0.0,
t10_net_apa_d t10_net_fin_d,-0.0,
t10_net_apa_d t10_net_fsa_d,-0.26250955266154957,
t10_net_apa_d t10_net_fsr_d,-0.0,
