feature,coef,importance
1,0.0,
t10_cen_blk_ml,0.0,0.016433859555330565
t10_cen_blk_ml t10_gis_area_k,-0.0,
t10_cen_blk_ml t10_ldb_ag25dwn_p,0.0,
t10_cen_blk_ml t10_ldb_ag60up_p,0.0,
t10_cen_blk_ml t10_ldb_asian_p,0.0,
t10_cen_blk_ml t10_ldb_col_p,0.0,
t10_cen_blk_ml t10_ldb_fb_p,0.0,
t10_cen_blk_ml t10_ldb_hinci_m,0.0,
t10_cen_blk_ml t10_ldb_hisp_p,0.0,
t10_cen_blk_ml t10_ldb_hs_p,0.0,
t10_cen_blk_ml t10_ldb_lep_p,0.0,
t10_cen_blk_ml t10_ldb_mhmvali_m,0.027676010942528643,
t10_cen_blk_ml t10_ldb_mrenti_m,0.0,
t10_cen_blk_ml t10_ldb_multi_p,0.051731618550666554,
t10_cen_blk_ml t10_ldb_nhblk_p,-0.0,
t10_cen_blk_ml t10_ldb_nhwht_p,0.07609454607656234,
t10_cen_blk_ml t10_ldb_npov_p,0.0,
t10_cen_blk_ml t10_ldb_own_p,0.05669412764299749,
t10_cen_blk_ml t10_ldb_pop_d,0.0,
t10_cen_blk_ml t10_ldb_unemp_p,0.0,
t10_cen_blk_ml t10_ldb_vac_p,0.003280701400351302,
t10_cen_blk_ml t10_net_act_d,0.0,
t10_cen_blk_ml t10_net_amb_d,0.0,
t10_cen_blk_ml t10_net_apa_d,0.0,
t10_cen_blk_ml t10_net_aur_d,-0.0,
t10_cen_blk_ml t10_net_bar_d,-0.0,
t10_cen_blk_ml t10_net_cer_d,0.0,
t10_cen_blk_ml t10_net_dra_d,0.0,
t10_cen_blk_ml t10_net_ffa_d,-0.0,
t10_cen_blk_ml t10_net_fin_d,0.0,
t10_cen_blk_ml t10_net_fsa_d,0.0,
t10_cen_blk_ml t10_net_fsr_d,0.0,
t10_cen_blk_ml t10_net_hoi_d,-0.0,
t10_cen_blk_ml t10_net_hsr_d,0.0,
t10_cen_blk_ml t10_net_kct_d,-0.0,
t10_cen_blk_ml t10_net_liq_d,-0.0,
t10_cen_blk_ml t10_net_mul_d,0.0,
t10_cen_blk_ml t10_net_ngt_d,-0.0,
t10_cen_blk_ml t10_net_pht_d,0.0,
t10_cen_blk_ml t10_net_res_d,-0.0165098870617219,
t10_cen_blk_ml t10_net_srv_d,0.0,
t10_cen_blk_ml t10_net_wal_d,0.0,
t10_cen_blk_ml t10_use_green_k,-0.0009792345268578103,
t10_cen_blk_ml^2,-0.01510065977959555,
t10_gis_area_k,0.0,994.4351187786976
t10_gis_area_k t10_ldb_ag25dwn_p,0.0,
t10_gis_area_k t10_ldb_ag60up_p,0.017471721893462872,
t10_gis_area_k t10_ldb_asian_p,0.0,
t10_gis_area_k t10_ldb_col_p,0.0,
t10_gis_area_k t10_ldb_fb_p,-0.0,
t10_gis_area_k t10_ldb_hinci_m,0.0,
t10_gis_area_k t10_ldb_hisp_p,-0.0,
t10_gis_area_k t10_ldb_hs_p,0.0,
t10_gis_area_k t10_ldb_lep_p,-0.0,
t10_gis_area_k t10_ldb_mhmvali_m,0.0,
t10_gis_area_k t10_ldb_mrenti_m,0.0,
t10_gis_area_k t10_ldb_multi_p,0.0,
t10_gis_area_k t10_ldb_nhblk_p,0.0,
t10_gis_area_k t10_ldb_nhwht_p,0.11804780724551221,
t10_gis_area_k t10_ldb_npov_p,0.0,
t10_gis_area_k t10_ldb_own_p,0.058694784845310106,
t10_gis_area_k t10_ldb_pop_d,0.11954454735015754,
t10_gis_area_k t10_ldb_unemp_p,0.0,
t10_gis_area_k t10_ldb_vac_p,0.0,
t10_gis_area_k t10_net_act_d,-0.0,
t10_gis_area_k t10_net_amb_d,-0.0,
t10_gis_area_k t10_net_apa_d,0.0,
t10_gis_area_k t10_net_aur_d,-0.0,
t10_gis_area_k t10_net_bar_d,-0.0,
t10_gis_area_k t10_net_cer_d,0.0,
t10_gis_area_k t10_net_dra_d,-0.06468279431603813,
t10_gis_area_k t10_net_ffa_d,-0.0,
t10_gis_area_k t10_net_fin_d,0.0,
t10_gis_area_k t10_net_fsa_d,-0.0,
t10_gis_area_k t10_net_fsr_d,-0.0019380470907924253,
t10_gis_area_k t10_net_hoi_d,-0.04267238939571727,
t10_gis_area_k t10_net_hsr_d,0.0,
t10_gis_area_k t10_net_kct_d,-0.0,
t10_gis_area_k t10_net_liq_d,-0.0,
t10_gis_area_k t10_net_mul_d,-0.0,
t10_gis_area_k t10_net_ngt_d,-0.0,
t10_gis_area_k t10_net_pht_d,0.0,
t10_gis_area_k t10_net_res_d,-0.17537664172206974,
t10_gis_area_k t10_net_srv_d,0.0,
t10_gis_area_k t10_net_wal_d,0.0,
t10_gis_area_k t10_use_green_k,-0.0,
t10_gis_area_k^2,-0.07011589578058171,
t10_ldb_ag25dwn_p,-0.0,0.0160490015131034
t10_ldb_ag25dwn_p t10_ldb_ag60up_p,0.2151166097042301,
t10_ldb_ag25dwn_p t10_ldb_asian_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_col_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_fb_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_hinci_m,0.0,
t10_ldb_ag25dwn_p t10_ldb_hisp_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_hs_p,-0.0,
t10_ldb_ag25dwn_p t10_ldb_lep_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_mhmvali_m,0.1705050737156074,
t10_ldb_ag25dwn_p t10_ldb_mrenti_m,0.0,
t10_ldb_ag25dwn_p t10_ldb_multi_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_nhblk_p,-0.17976283737380197,
t10_ldb_ag25dwn_p t10_ldb_nhwht_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_npov_p,-0.0,
t10_ldb_ag25dwn_p t10_ldb_own_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_pop_d,0.0,
t10_ldb_ag25dwn_p t10_ldb_unemp_p,-0.0,
t10_ldb_ag25dwn_p t10_ldb_vac_p,-0.0,
t10_ldb_ag25dwn_p t10_net_act_d,0.0,
t10_ldb_ag25dwn_p t10_net_amb_d,0.0,
t10_ldb_ag25dwn_p t10_net_apa_d,0.0,
t10_ldb_ag25dwn_p t10_net_aur_d,0.0,
t10_ldb_ag25dwn_p t10_net_bar_d,-0.0,
t10_ldb_ag25dwn_p t10_net_cer_d,0.0,
t10_ldb_ag25dwn_p t10_net_dra_d,0.0,
t10_ldb_ag25dwn_p t10_net_ffa_d,-0.0,
t10_ldb_ag25dwn_p t10_net_fin_d,0.0,
t10_ldb_ag25dwn_p t10_net_fsa_d,0.0,
t10_ldb_ag25dwn_p t10_net_fsr_d,0.0,
t10_ldb_ag25dwn_p t10_net_hoi_d,-0.0,
t10_ldb_ag25dwn_p t10_net_hsr_d,0.0,
