feature,coef,importance
1,0.0,
t10_cen_blk_ml,0.0,0.022187764945819775
t10_cen_blk_ml t10_gis_area_k,-0.0,
t10_cen_blk_ml t10_ldb_ag25dwn_p,0.0,
t10_cen_blk_ml t10_ldb_ag60up_p,0.026400657892416805,
t10_cen_blk_ml t10_ldb_asian_p,0.0,
t10_cen_blk_ml t10_ldb_col_p,0.0,
t10_cen_blk_ml t10_ldb_fb_p,0.0,
t10_cen_blk_ml t10_ldb_hinci_m,0.0,
t10_cen_blk_ml t10_ldb_hisp_p,0.0,
t10_cen_blk_ml t10_ldb_hs_p,0.0,
t10_cen_blk_ml t10_ldb_lep_p,0.0,
t10_cen_blk_ml t10_ldb_mhmvali_m,0.02627675572158525,
t10_cen_blk_ml t10_ldb_mrenti_m,0.0,
t10_cen_blk_ml t10_ldb_multi_p,0.07048254209171562,
t10_cen_blk_ml t10_ldb_nhblk_p,-0.0,
t10_cen_blk_ml t10_ldb_nhwht_p,0.10731378728830789,
t10_cen_blk_ml t10_ldb_npov_p,0.0,
t10_cen_blk_ml t10_ldb_own_p,0.04553669387894008,
t10_cen_blk_ml t10_ldb_pop_d,0.0,
t10_cen_blk_ml t10_ldb_unemp_p,0.014131197536998394,
t10_cen_blk_ml t10_ldb_vac_p,0.02355147056102584,
t10_cen_blk_ml t10_net_act_d,0.0,
t10_cen_blk_ml t10_net_amb_d,0.0,
t10_cen_blk_ml t10_net_apa_d,0.0,
t10_cen_blk_ml t10_net_aur_d,-0.0,
t10_cen_blk_ml t10_net_bar_d,-0.0,
t10_cen_blk_ml t10_net_cer_d,0.0,
t10_cen_blk_ml t10_net_dra_d,0.0,
t10_cen_blk_ml t10_net_ffa_d,-0.0,
t10_cen_blk_ml t10_net_fin_d,-0.0,
t10_cen_blk_ml t10_net_fsa_d,-0.0,
t10_cen_blk_ml t10_net_fsr_d,0.0,
t10_cen_blk_ml t10_net_hoi_d,-0.0,
t10_cen_blk_ml t10_net_hsr_d,0.0,
t10_cen_blk_ml t10_net_kct_d,-0.0,
t10_cen_blk_ml t10_net_liq_d,-0.0,
t10_cen_blk_ml t10_net_mul_d,0.0,
t10_cen_blk_ml t10_net_ngt_d,-0.0,
t10_cen_blk_ml t10_net_pht_d,0.0,
t10_cen_blk_ml t10_net_res_d,-0.0013612002069659295,
t10_cen_blk_ml t10_net_srv_d,-0.0,
t10_cen_blk_ml t10_net_wal_d,0.0,
t10_cen_blk_ml t10_use_green_k,-0.014946133370285072,
t10_cen_blk_ml^2,-0.060201633362147344,
t10_gis_area_k,0.0,1377.5872916373114
t10_gis_area_k t10_ldb_ag25dwn_p,0.0,
t10_gis_area_k t10_ldb_ag60up_p,0.03852083715054472,
t10_gis_area_k t10_ldb_asian_p,-0.0,
t10_gis_area_k t10_ldb_col_p,0.0,
t10_gis_area_k t10_ldb_fb_p,-0.0,
t10_gis_area_k t10_ldb_hinci_m,0.0,
t10_gis_area_k t10_ldb_hisp_p,0.0,
t10_gis_area_k t10_ldb_hs_p,0.0,
t10_gis_area_k t10_ldb_lep_p,-0.0,
t10_gis_area_k t10_ldb_mhmvali_m,0.0,
t10_gis_area_k t10_ldb_mrenti_m,0.0,
t10_gis_area_k t10_ldb_multi_p,0.0,
t10_gis_area_k t10_ldb_nhblk_p,0.0,
t10_gis_area_k t10_ldb_nhwht_p,0.1284450160687365,
t10_gis_area_k t10_ldb_npov_p,0.0,
t10_gis_area_k t10_ldb_own_p,0.059269838689686695,
t10_gis_area_k t10_ldb_pop_d,0.1519584012246324,
t10_gis_area_k t10_ldb_unemp_p,0.0,
t10_gis_area_k t10_ldb_vac_p,0.0,
