feature,coef,importance
1,0.0,
t10_net_act_d,0.0,0.0
t10_net_act_d t10_net_amb_d,-0.0,
t10_net_act_d t10_net_apa_d,-0.0,
t10_net_act_d t10_net_aur_d,-0.0,
t10_net_act_d t10_net_bar_d,0.0,
t10_net_act_d t10_net_cer_d,-0.0,
t10_net_act_d t10_net_dra_d,-0.0,
t10_net_act_d t10_net_ffa_d,-0.0,
t10_net_act_d t10_net_fin_d,-0.0,
t10_net_act_d t10_net_fsa_d,-0.0,
t10_net_act_d t10_net_fsr_d,-0.0,
t10_net_act_d t10_net_hoi_d,-0.0,
t10_net_act_d t10_net_hsr_d,-0.0,
t10_net_act_d t10_net_kct_d,-0.0,
t10_net_act_d t10_net_liq_d,-0.0,
t10_net_act_d t10_net_mul_d,-0.0,
t10_net_act_d t10_net_ngt_d,0.0,
t10_net_act_d t10_net_pht_d,-0.0,
t10_net_act_d t10_net_res_d,-0.0,
t10_net_act_d t10_net_srv_d,-0.0,
t10_net_act_d t10_net_wal_d,-0.0,
t10_net_act_d^2,-0.0,
t10_net_amb_d,0.21051201888945925,0.010245962163478329
t10_net_amb_d t10_net_apa_d,-0.0,
t10_net_amb_d t10_net_aur_d,-0.0,
t10_net_amb_d t10_net_bar_d,0.0,
t10_net_amb_d t10_net_cer_d,-0.0,
t10_net_amb_d t10_net_dra_d,-0.0,
t10_net_amb_d t10_net_ffa_d,-0.0,
t10_net_amb_d t10_net_fin_d,-0.0,
t10_net_amb_d t10_net_fsa_d,-0.0,
t10_net_amb_d t10_net_fsr_d,-0.0,
t10_net_amb_d t10_net_hoi_d,-0.0,
t10_net_amb_d t10_net_hsr_d,-0.0,
t10_net_amb_d t10_net_kct_d,-0.0,
t10_net_amb_d t10_net_liq_d,-0.0,
t10_net_amb_d t10_net_mul_d,-0.0,
t10_net_amb_d t10_net_ngt_d,0.0,
t10_net_amb_d t10_net_pht_d,-0.0,
t10_net_amb_d t10_net_res_d,-0.0,
t10_net_amb_d t10_net_srv_d,-0.0,
t10_net_amb_d t10_net_wal_d,-0.0,
t10_net_amb_d^2,-0.025004249311061346,
t10_net_apa_d,0.5068482714988213,0.04624811018710284
t10_net_apa_d t10_net_aur_d,-0.0,
