feature,coef,importance
1,0.0,
t10_cen_blk_ml,0.0,0.020527410220067255
t10_cen_blk_ml t10_gis_area_k,-0.0,
t10_cen_blk_ml t10_ldb_ag25dwn_p,0.0,
t10_cen_blk_ml t10_ldb_ag60up_p,0.0,
t10_cen_blk_ml t10_ldb_asian_p,0.0,
t10_cen_blk_ml t10_ldb_col_p,0.0,
t10_cen_blk_ml t10_ldb_fb_p,0.0,
t10_cen_blk_ml t10_ldb_hinci_m,0.0,
t10_cen_blk_ml t10_ldb_hisp_p,0.0,
t10_cen_blk_ml t10_ldb_hs_p,0.011365784248752541,
t10_cen_blk_ml t10_ldb_lep_p,0.0,
t10_cen_blk_ml t10_ldb_mhmvali_m,0.007590870935430322,
t10_cen_blk_ml t10_ldb_mrenti_m,0.0,
t10_cen_blk_ml t10_ldb_multi_p,0.08241102175661731,
t10_cen_blk_ml t10_ldb_nhblk_p,-0.0,
t10_cen_blk_ml t10_ldb_nhwht_p,0.1270498953652873,
t10_cen_blk_ml t10_ldb_npov_p,0.0,
t10_cen_blk_ml t10_ldb_own_p,0.037312299469573436,
t10_cen_blk_ml t10_ldb_pop_d,0.0,
t10_cen_blk_ml t10_ldb_unemp_p,0.010732062766068648,
t10_cen_blk_ml t10_ldb_vac_p,0.04038882481372785,
t10_cen_blk_ml t10_net_act_d,0.0,
t10_cen_blk_ml t10_net_amb_d,0.0,
t10_cen_blk_ml t10_net_apa_d,0.0,
t10_cen_blk_ml t10_net_aur_d,-0.0,
t10_cen_blk_ml t10_net_bar_d,-0.0,
t10_cen_blk_ml t10_net_cer_d,0.0,
t10_cen_blk_ml t10_net_dra_d,0.0,
t10_cen_blk_ml t10_net_ffa_d,-0.0,
t10_cen_blk_ml t10_net_fin_d,0.0,
t10_cen_blk_ml t10_net_fsa_d,-0.0,
t10_cen_blk_ml t10_net_fsr_d,0.0,
t10_cen_blk_ml t10_net_hoi_d,-0.0,
t10_cen_blk_ml t10_net_hsr_d,0.0,
t10_cen_blk_ml t10_net_kct_d,-0.0,
t10_cen_blk_ml t10_net_liq_d,-0.0,
t10_cen_blk_ml t10_net_mul_d,0.0,
t10_cen_blk_ml t10_net_ngt_d,-0.0,
t10_cen_blk_ml t10_net_pht_d,0.0,
t10_cen_blk_ml t10_net_res_d,-0.0,
t10_cen_blk_ml t10_net_srv_d,-0.0,
t10_cen_blk_ml t10_net_wal_d,0.0,
t10_cen_blk_ml t10_use_green_k,-0.02415743883312829,
t10_cen_blk_ml^2,-0.06431480085419611,
t10_gis_area_k,0.0,1421.680836124983
t10_gis_area_k t10_ldb_ag25dwn_p,0.0,
t10_gis_area_k t10_ldb_ag60up_p,0.04578393153319699,
t10_gis_area_k t10_ldb_asian_p,-0.0,
t10_gis_area_k t10_ldb_col_p,0.0,
t10_gis_area_k t10_ldb_fb_p,-0.0,
t10_gis_area_k t10_ldb_hinci_m,0.0,
t10_gis_area_k t10_ldb_hisp_p,0.0,
t10_gis_area_k t10_ldb_hs_p,0.0,
t10_gis_area_k t10_ldb_lep_p,-0.0,
t10_gis_area_k t10_ldb_mhmvali_m,0.0,
t10_gis_area_k t10_ldb_mrenti_m,0.0,
t10_gis_area_k t10_ldb_multi_p,0.0,
t10_gis_area_k t10_ldb_nhblk_p,0.0,
t10_gis_area_k t10_ldb_nhwht_p,0.11254604278676665,
t10_gis_area_k t10_ldb_npov_p,0.0,
t10_gis_area_k t10_ldb_own_p,0.0668295510009907,
t10_gis_area_k t10_ldb_pop_d,0.19660136170262124,
t10_gis_area_k t10_ldb_unemp_p,0.0,
t10_gis_area_k t10_ldb_vac_p,0.0,
t10_gis_area_k t10_net_act_d,0.0,
t10_gis_area_k t10_net_amb_d,0.0,
t10_gis_area_k t10_net_apa_d,0.0,
t10_gis_area_k t10_net_aur_d,-0.0028257672348545888,
