feature,coef,importance
1,0.0,
t10_cen_blk_ml,0.27498465872315897,0.010079386254405654
t10_gis_area_k,0.3260837563926638,0.013457775281938655
t10_ldb_ag25dwn_p,0.33650257181759813,0.014120255002278915
t10_ldb_ag60up_p,0.313528741673438,0.012646420187290097
t10_ldb_asian_p,0.23017442995892665,0.006743473709180358
t10_ldb_col_p,0.5961633978615283,0.04467843027965619
t10_ldb_fb_p,0.5280164711294247,0.03485683653438272
t10_ldb_hinci_m,-0.19379076882930088,0.004765596815815632
t10_ldb_hisp_p,0.7961848903859452,0.07857799127198431
t10_ldb_hs_p,-0.8270253601392284,0.08524142582989191
t10_ldb_lep_p,0.40321476643292875,0.020098764051135243
t10_ldb_mhmvali_m,0.6933439150509585,0.06048465991466212
t10_ldb_mrenti_m,0.04702311489720287,0.0002984679794158618
t10_ldb_multi_p,0.5222417354113725,0.03422575631712952
t10_ldb_nhblk_p,0.00286362477141354,-4.844277029070199e-07
t10_ldb_nhwht_p,0.7732164093795295,0.07489365062556101
t10_ldb_npov_p,-0.7796786092412065,0.07596010330985467
t10_ldb_own_p,1.0023342263737334,0.12593363882120084
t10_ldb_pop_d,0.22358452528075995,0.006362004513347186
t10_ldb_unemp_p,-0.20130806819380184,0.00512680363027882
t10_ldb_vac_p,-0.09842445734335528,0.0012267233484922978
t10_net_act_d,0.0,0.0
t10_net_amb_d,0.0174060930099596,6.290383162925739e-05
t10_net_apa_d,-0.07541456793584585,0.0007602199990697667
t10_net_aur_d,-0.0,0.0
t10_net_bar_d,-0.0,0.0
t10_net_cer_d,-0.005983580965883167,-3.632545872234161e-06
t10_net_dra_d,-0.039916476550513245,0.00016340056872672372
t10_net_ffa_d,-0.08564015077926741,0.0011091808297143846
t10_net_fin_d,0.00868973873950248,1.8680549581273632e-05
t10_net_fsa_d,-0.0,0.0
t10_net_fsr_d,-0.08312484559679197,0.0008367082887653643
t10_net_hoi_d,-0.049867114451406354,0.00036574764502452786
t10_net_hsr_d,0.03578888542731669,0.0001824909528662655
t10_net_kct_d,-0.041310888010665625,0.00017659779670018417
t10_net_liq_d,-0.05398002830650784,0.0003287965595236031
t10_net_mul_d,0.01787789693087289,7.004971571564767e-05
t10_net_ngt_d,-0.12382253257705282,0.0019470839602395928
t10_net_pht_d,-0.008276401772955966,1.6050104735931825e-06
t10_net_res_d,-0.24283699356058255,0.006915445835244172
t10_net_srv_d,-0.02571279432539745,7.641411442949053e-05
t10_net_wal_d,0.2239822359370967,0.006688657252009689
t10_use_green_k,-0.07272547699017966,0.0005489059265629814
