feature,coef,importance
1,0.0,
t10_net_act_d,0.299653524675754,0.014293946692388171
t10_net_amb_d,0.04297019614618381,0.00018759656019087245
t10_net_apa_d,0.7018002000422402,0.07872939856668164
t10_net_aur_d,0.3174403788456618,0.014741647242025358
t10_net_bar_d,0.0,0.0
t10_net_cer_d,-0.1068780197802251,0.0019695240860109877
t10_net_dra_d,-0.03434719974188302,0.00026323276566295737
t10_net_ffa_d,-0.31856184298970086,0.01551476297342782
t10_net_fin_d,-0.10996272825546281,0.0018159330759832005
t10_net_fsa_d,-0.08265191721960821,0.0013256955537838567
t10_net_fsr_d,-0.9331476184983972,0.1401152092205259
t10_net_hoi_d,-0.1438703556550743,0.0034061972271313802
t10_net_hsr_d,0.08503104851121669,0.0009758409659436085
t10_net_kct_d,-0.05483063949617612,0.00038074658321638475
t10_net_liq_d,-0.06030300154166706,0.0005563597952407573
t10_net_mul_d,-0.11955828411120266,0.003005139993623551
t10_net_ngt_d,-0.48951273962984704,0.037399870709320805
t10_net_pht_d,0.04106981891839567,0.0002115356479366781
t10_net_res_d,-0.2145213841928248,0.006931913760679964
t10_net_srv_d,-0.3400561192636373,0.018815172661991286
t10_net_wal_d,1.180027313437689,0.21948708675720424
