feature,coef,importance
1,0.0,
t10_net_act_d,0.0,0.0
t10_net_act_d t10_net_amb_d,-0.0,
t10_net_act_d t10_net_apa_d,-0.0,
t10_net_act_d t10_net_aur_d,-0.0,
t10_net_act_d t10_net_bar_d,0.0,
t10_net_act_d t10_net_cer_d,-0.0,
t10_net_act_d t10_net_dra_d,-0.0,
t10_net_act_d t10_net_ffa_d,-0.0,
t10_net_act_d t10_net_fin_d,-0.0,
t10_net_act_d t10_net_fsa_d,-0.0,
t10_net_act_d t10_net_fsr_d,-0.0,
t10_net_act_d t10_net_hoi_d,-0.0,
t10_net_act_d t10_net_hsr_d,-0.0,
t10_net_act_d t10_net_kct_d,-0.0,
t10_net_act_d t10_net_liq_d,-0.0,
t10_net_act_d t10_net_mul_d,-0.0,
t10_net_act_d t10_net_ngt_d,0.0,
t10_net_act_d t10_net_pht_d,-0.0,
t10_net_act_d t10_net_res_d,-0.0,
t10_net_act_d t10_net_srv_d,0.0,
t10_net_act_d t10_net_wal_d,-0.0,
t10_net_act_d^2,-0.0,
t10_net_amb_d,0.4014669468218137,0.017750233935434224
t10_net_amb_d t10_net_apa_d,-0.0,
t10_net_amb_d t10_net_aur_d,-0.0,
t10_net_amb_d t10_net_bar_d,0.0,
t10_net_amb_d t10_net_cer_d,-0.011756723917343644,
t10_net_amb_d t10_net_dra_d,-0.0,
t10_net_amb_d t10_net_ffa_d,-0.0,
t10_net_amb_d t10_net_fin_d,-0.025212242443859705,
t10_net_amb_d t10_net_fsa_d,-0.0,
t10_net_amb_d t10_net_fsr_d,-0.0,
t10_net_amb_d t10_net_hoi_d,-0.0,
t10_net_amb_d t10_net_hsr_d,-0.0,
t10_net_amb_d t10_net_kct_d,-0.0,
t10_net_amb_d t10_net_liq_d,-0.0,
t10_net_amb_d t10_net_mul_d,-0.0,
t10_net_amb_d t10_net_ngt_d,0.0,
t10_net_amb_d t10_net_pht_d,-0.0025312234835577953,
t10_net_amb_d t10_net_res_d,-0.0,
t10_net_amb_d t10_net_srv_d,0.0,
t10_net_amb_d t10_net_wal_d,-0.0,
t10_net_amb_d^2,-0.11106711871997886,
t10_net_apa_d,0.9134332374255194,0.08896739287394077
