feature,coef,importance
1,0.0,
t10_ldb_ag25dwn_p,0.25598349160780975,0.013845623343911151
t10_ldb_ag60up_p,0.5501563609065151,0.06903728982540362
t10_ldb_asian_p,0.08977794621735062,0.001975155840095866
t10_ldb_col_p,0.33903716923925775,0.02576666179055174
t10_ldb_fb_p,0.36665209071260924,0.030486564794959592
t10_ldb_hinci_m,-0.1278808965326412,0.0033421640347309767
t10_ldb_hisp_p,0.2468039398307988,0.013145682357617816
t10_ldb_hs_p,-0.5234241998646164,0.06057796185447073
t10_ldb_lep_p,0.26422471085949345,0.015275875596334743
t10_ldb_mhmvali_m,0.5675626845388012,0.07021090783566289
t10_ldb_mrenti_m,-0.13265764609127462,0.003689429038918024
t10_ldb_multi_p,0.19884389987238518,0.00903665633918722
t10_ldb_nhblk_p,-0.1238659208032223,0.0034913160761942397
t10_ldb_nhwht_p,0.14515844645097534,0.004550451701847003
t10_ldb_npov_p,-0.4715829691651039,0.048788191920652604
t10_ldb_own_p,0.7838296627588613,0.13536432364970227
t10_ldb_pop_d,0.12036022251596656,0.0031718705795393378
t10_ldb_unemp_p,-0.1531473476220351,0.0049558845691370255
t10_ldb_vac_p,0.09193046841302194,0.0016945394535300639
