feature,coef,importance
1,0.0,
t10_ldb_ag25dwn_p,-0.2780010480232901,0.020888160025939316
t10_ldb_ag25dwn_p t10_ldb_ag60up_p,0.08647427842578266,
t10_ldb_ag25dwn_p t10_ldb_asian_p,0.02243190347395341,
t10_ldb_ag25dwn_p t10_ldb_col_p,0.0012759497976834674,
t10_ldb_ag25dwn_p t10_ldb_fb_p,0.03730981181495819,
t10_ldb_ag25dwn_p t10_ldb_hisp_p,0.12148168078833055,
t10_ldb_ag25dwn_p t10_ldb_hs_p,-0.08772652993288725,
t10_ldb_ag25dwn_p t10_ldb_lep_p,0.3251936779805964,
t10_ldb_ag25dwn_p t10_ldb_mhmvali_m,0.09673948948251929,
t10_ldb_ag25dwn_p t10_ldb_mrenti_m,0.1529825861051946,
t10_ldb_ag25dwn_p t10_ldb_multi_p,0.3183038698006656,
t10_ldb_ag25dwn_p t10_ldb_nhblk_p,-0.10820807645876622,
t10_ldb_ag25dwn_p t10_ldb_nhwht_p,0.631837105627837,
t10_ldb_ag25dwn_p t10_ldb_npov_p,0.09985410647857672,
t10_ldb_ag25dwn_p t10_ldb_own_p,0.05013166854154248,
t10_ldb_ag25dwn_p t10_ldb_unemp_p,0.0,
t10_ldb_ag25dwn_p t10_ldb_vac_p,-0.0,
t10_ldb_ag25dwn_p^2,-0.0,
t10_ldb_ag60up_p,0.0,0.03184788275263495
t10_ldb_ag60up_p t10_ldb_asian_p,0.1135126103725739,
t10_ldb_ag60up_p t10_ldb_col_p,0.11540551634995669,
t10_ldb_ag60up_p t10_ldb_fb_p,0.22010663599696023,
t10_ldb_ag60up_p t10_ldb_hisp_p,0.21013661406271983,
t10_ldb_ag60up_p t10_ldb_hs_p,-0.17341277652439788,
t10_ldb_ag60up_p t10_ldb_lep_p,0.030319405609252725,
t10_ldb_ag60up_p t10_ldb_mhmvali_m,-0.001234272918250033,
t10_ldb_ag60up_p t10_ldb_mrenti_m,0.017270403235202552,
t10_ldb_ag60up_p t10_ldb_multi_p,0.05868755982223468,
t10_ldb_ag60up_p t10_ldb_nhblk_p,-0.07748706775881069,
t10_ldb_ag60up_p t10_ldb_nhwht_p,0.2610469095442266,
t10_ldb_ag60up_p t10_ldb_npov_p,-0.1527671904012391,
t10_ldb_ag60up_p t10_ldb_own_p,0.3783209706970404,
t10_ldb_ag60up_p t10_ldb_unemp_p,0.11248660581268823,
t10_ldb_ag60up_p t10_ldb_vac_p,0.10557228967224438,
t10_ldb_ag60up_p^2,-0.42380022538528245,
t10_ldb_asian_p,0.1613277393479563,0.005024810129766455
t10_ldb_asian_p t10_ldb_fb_p,-0.02239970843265003,
t10_ldb_asian_p t10_ldb_hs_p,0.0,
t10_ldb_asian_p t10_ldb_mhmvali_m,-0.0,
t10_ldb_asian_p t10_ldb_npov_p,-0.04307135754016328,
t10_ldb_asian_p t10_ldb_own_p,0.08630883025130993,
t10_ldb_asian_p t10_ldb_unemp_p,-0.1444176672149526,
t10_ldb_asian_p t10_ldb_vac_p,-0.03323928269336916,
t10_ldb_asian_p^2,0.006763164853929786,
t10_ldb_col_p,0.5640197889523534,0.08049913924910315
t10_ldb_col_p t10_ldb_asian_p,-0.01817044580509737,
t10_ldb_col_p t10_ldb_fb_p,0.1075574061023711,
t10_ldb_col_p t10_ldb_hs_p,-0.01959501784252973,
t10_ldb_col_p t10_ldb_lep_p,0.000361714224899062,
t10_ldb_col_p t10_ldb_mhmvali_m,0.32171041938725103,
t10_ldb_col_p t10_ldb_mrenti_m,0.0,
t10_ldb_col_p t10_ldb_multi_p,-0.11883270546391572,
t10_ldb_col_p t10_ldb_nhwht_p,0.0,
t10_ldb_col_p t10_ldb_npov_p,0.12218188382513791,
t10_ldb_col_p t10_ldb_own_p,0.0021739926420880416,
t10_ldb_col_p t10_ldb_unemp_p,0.15404821965435694,
t10_ldb_col_p t10_ldb_vac_p,-0.026785657742958477,
t10_ldb_col_p^2,-0.13230087292417633,
t10_ldb_fb_p,0.14573118757088313,0.05442025250808515
t10_ldb_fb_p t10_ldb_hs_p,0.03563239105746993,
t10_ldb_fb_p t10_ldb_mhmvali_m,0.0,
t10_ldb_fb_p t10_ldb_npov_p,-0.0687339662604394,
t10_ldb_fb_p t10_ldb_own_p,-0.0,
t10_ldb_fb_p t10_ldb_unemp_p,0.04866653456213232,
t10_ldb_fb_p t10_ldb_vac_p,0.0882666072741967,
t10_ldb_fb_p^2,-0.09865138376601713,
t10_ldb_hinci_m,1.2004096547455487,0.11440084204123244
t10_ldb_hinci_m t10_ldb_ag25dwn_p,-0.08272280108219211,
t10_ldb_hinci_m t10_ldb_ag60up_p,0.017189200847112004,
t10_ldb_hinci_m t10_ldb_asian_p,-0.18139134806674218,
