feature,coef,importance
1,0.0,
t10_cen_blk_ml,0.29561296421128996,0.013948782688332129
t10_gis_area_k,0.2642409450401167,0.010927443764730404
t10_ldb_ag25dwn_p,0.25584886784665306,0.009568774824766391
t10_ldb_ag60up_p,0.4095311766235427,0.026469550368438698
t10_ldb_asian_p,0.19670259390282432,0.00614639645741597
t10_ldb_col_p,0.5518009604341177,0.04660345464550801
t10_ldb_fb_p,0.434509735503435,0.028519520526456944
t10_ldb_hinci_m,-0.1274259434882399,0.0025328504673952867
t10_ldb_hisp_p,0.6297059809974109,0.05880116177182644
t10_ldb_hs_p,-0.6837130839629374,0.07036546740128993
t10_ldb_lep_p,0.3863651221509624,0.022471208443758984
t10_ldb_mhmvali_m,0.6415921025881001,0.06202867917211872
t10_ldb_mrenti_m,-0.005105412744438799,-1.1483588622906993e-06
t10_ldb_multi_p,0.40401445611398923,0.02497850922389717
t10_ldb_nhblk_p,0.10330478068336338,0.0016432030907666205
t10_ldb_nhwht_p,0.6169604622804976,0.057692353311687185
t10_ldb_npov_p,-0.6752440314501804,0.06885997241680542
t10_ldb_own_p,0.9667763110668016,0.14198806316774532
t10_ldb_pop_d,0.21927066988052052,0.007480479473398405
t10_ldb_unemp_p,-0.15861359773698583,0.0039029810328707003
t10_ldb_vac_p,-0.03694296922785246,0.00021019012996637
t10_net_act_d,0.0,0.0
t10_net_amb_d,0.015048280901512874,4.9267549530584985e-05
t10_net_apa_d,-0.07768370766473605,0.0009509403644718973
t10_net_aur_d,-0.016536420908023503,5.5934370710919444e-05
t10_net_bar_d,-0.0,0.0
t10_net_cer_d,-0.018146836691324247,2.07404077375406e-05
t10_net_dra_d,-0.03335120101310637,0.00013685238570366743
t10_net_ffa_d,-0.07826015483532504,0.0011481166278801912
t10_net_fin_d,0.006024251359638991,8.20461075992096e-06
t10_net_fsa_d,0.0,0.0
t10_net_fsr_d,-0.05908731620788171,0.0005291606578950558
t10_net_hoi_d,-0.04561031314670027,0.00038221608009585405
t10_net_hsr_d,0.03366173632797501,0.00016253482926174013
t10_net_kct_d,-0.04222665673857134,0.00023561278086761117
t10_net_liq_d,-0.04341474810389521,0.0002575806639620204
t10_net_mul_d,0.011842450288142858,5.0095165765284834e-05
t10_net_ngt_d,-0.11139162045553616,0.0019153927512867153
t10_net_pht_d,-0.004183430751261868,-6.181202454769163e-07
t10_net_res_d,-0.24347405599291527,0.008424567580588982
t10_net_srv_d,-0.02560608557749005,7.546904366186879e-05
t10_net_wal_d,0.224612721331619,0.008157251475238736
t10_use_green_k,-0.02985839820910214,0.00010050556721068471
