,feature,coef
0,1,0.0
1,t10_ldb_hinci_m,2.770556465644568
2,t10_ldb_pop_d,0.5999474235678822
3,t10_ldb_nhblk_p,-2.22694372848592
4,t10_ldb_hisp_p,-0.26873743677721096
5,t10_ldb_col_p,2.727995091833212
6,t10_ldb_hinci_m^2,-0.9714075105621574
7,t10_ldb_hinci_m t10_ldb_pop_d,0.1397603748102688
8,t10_ldb_hinci_m t10_ldb_nhblk_p,0.3326060812633773
9,t10_ldb_hinci_m t10_ldb_hisp_p,-0.01933566294791582
10,t10_ldb_hinci_m t10_ldb_col_p,-1.1207886653774122
11,t10_ldb_pop_d^2,0.05870724934838644
12,t10_ldb_pop_d t10_ldb_nhblk_p,-0.08270168700626704
13,t10_ldb_pop_d t10_ldb_hisp_p,-0.1938727085335401
14,t10_ldb_pop_d t10_ldb_col_p,-0.3829503608237973
15,t10_ldb_nhblk_p^2,1.0192570472736338
16,t10_ldb_nhblk_p t10_ldb_hisp_p,0.311891773598403
17,t10_ldb_nhblk_p t10_ldb_col_p,-0.04225963858596057
18,t10_ldb_hisp_p^2,0.7103706890975824
19,t10_ldb_hisp_p t10_ldb_col_p,0.11652797343210665
20,t10_ldb_col_p^2,-0.9667667226308799
