,feature,coef
0,1,0.0
1,t10_ldb_hinci_m,0.3307113282879916
2,t10_ldb_pop_d,-0.6032448511555236
3,t10_ldb_ag25dwn_p,-0.047451467122485366
4,t10_ldb_ag60up_p,0.5342966645801109
5,t10_ldb_nhblk_p,-0.0
6,t10_ldb_hisp_p,-0.0
7,t10_ldb_col_p,0.3303908553832034
8,t10_ldb_lep_p,-0.0
9,t10_ldb_mrenti_m,0.22252718098411953
10,t10_ldb_multi_p,-0.0
11,t10_ldb_nhwht_p,0.0
12,t10_ldb_asian_p,0.014824504914166023
13,t10_ldb_fb_p,0.0
14,t10_ldb_hs_p,-0.8076621550636517
15,t10_ldb_unemp_p,-0.0
16,t10_ldb_npov_p,-0.45086633300624457
17,t10_ldb_vac_p,0.39206406544326006
18,t10_ldb_own_p,0.44890948074774495
19,t10_ldb_mhmvali_m,0.5460389149305124
20,t10_ldb_hinci_m^2,0.24599735371110315
21,t10_ldb_hinci_m t10_ldb_pop_d,0.005911840969401468
22,t10_ldb_hinci_m t10_ldb_ag25dwn_p,0.0
23,t10_ldb_hinci_m t10_ldb_ag60up_p,0.08656770711883248
24,t10_ldb_hinci_m t10_ldb_nhblk_p,-0.0
25,t10_ldb_hinci_m t10_ldb_hisp_p,0.0009916877659234215
26,t10_ldb_hinci_m t10_ldb_col_p,0.0
27,t10_ldb_hinci_m t10_ldb_lep_p,0.0
28,t10_ldb_hinci_m t10_ldb_mrenti_m,0.0
29,t10_ldb_hinci_m t10_ldb_multi_p,-0.13859254046073724
30,t10_ldb_hinci_m t10_ldb_nhwht_p,-0.46411744477911726
31,t10_ldb_hinci_m t10_ldb_asian_p,-0.0779807899987837
32,t10_ldb_hinci_m t10_ldb_fb_p,0.0
33,t10_ldb_hinci_m t10_ldb_hs_p,0.11663077223096631
34,t10_ldb_hinci_m t10_ldb_unemp_p,-0.01581710245223316
35,t10_ldb_hinci_m t10_ldb_npov_p,0.22682423909021016
36,t10_ldb_hinci_m t10_ldb_vac_p,-0.0
37,t10_ldb_hinci_m t10_ldb_own_p,-0.6640495374468035
38,t10_ldb_hinci_m t10_ldb_mhmvali_m,0.0
39,t10_ldb_pop_d^2,0.12804526094432392
40,t10_ldb_pop_d t10_ldb_ag25dwn_p,0.08189736384021175
41,t10_ldb_pop_d t10_ldb_ag60up_p,0.20046032129994426
42,t10_ldb_pop_d t10_ldb_nhblk_p,-0.06060008632378763
43,t10_ldb_pop_d t10_ldb_hisp_p,0.0
44,t10_ldb_pop_d t10_ldb_col_p,-0.021365443317206283
45,t10_ldb_pop_d t10_ldb_lep_p,-0.01068235319700244
46,t10_ldb_pop_d t10_ldb_mrenti_m,-0.0
47,t10_ldb_pop_d t10_ldb_multi_p,0.33753647208223203
48,t10_ldb_pop_d t10_ldb_nhwht_p,-0.08734767611918301
49,t10_ldb_pop_d t10_ldb_asian_p,0.0
50,t10_ldb_pop_d t10_ldb_fb_p,0.0
51,t10_ldb_pop_d t10_ldb_hs_p,0.0
52,t10_ldb_pop_d t10_ldb_unemp_p,-0.04118958353650153
53,t10_ldb_pop_d t10_ldb_npov_p,0.0001902225438475181
54,t10_ldb_pop_d t10_ldb_vac_p,-0.021824181555846842
55,t10_ldb_pop_d t10_ldb_own_p,0.0
56,t10_ldb_pop_d t10_ldb_mhmvali_m,0.07051387993151073
57,t10_ldb_ag25dwn_p^2,-0.0
58,t10_ldb_ag25dwn_p t10_ldb_ag60up_p,0.0
59,t10_ldb_ag25dwn_p t10_ldb_nhblk_p,-0.19985154145416018
60,t10_ldb_ag25dwn_p t10_ldb_hisp_p,-0.0
61,t10_ldb_ag25dwn_p t10_ldb_col_p,0.060368858234052684
62,t10_ldb_ag25dwn_p t10_ldb_lep_p,0.16901726176509504
63,t10_ldb_ag25dwn_p t10_ldb_mrenti_m,0.05489442893131417
64,t10_ldb_ag25dwn_p t10_ldb_multi_p,0.22496999851638533
65,t10_ldb_ag25dwn_p t10_ldb_nhwht_p,0.15661712395395647
66,t10_ldb_ag25dwn_p t10_ldb_asian_p,0.0
67,t10_ldb_ag25dwn_p t10_ldb_fb_p,0.0
68,t10_ldb_ag25dwn_p t10_ldb_hs_p,0.0
69,t10_ldb_ag25dwn_p t10_ldb_unemp_p,0.0
70,t10_ldb_ag25dwn_p t10_ldb_npov_p,0.1123321204158127
71,t10_ldb_ag25dwn_p t10_ldb_vac_p,0.007708385327809362
72,t10_ldb_ag25dwn_p t10_ldb_own_p,0.06937054534647805
73,t10_ldb_ag25dwn_p t10_ldb_mhmvali_m,0.10466557267094173
74,t10_ldb_ag60up_p^2,-0.5200605080567012
75,t10_ldb_ag60up_p t10_ldb_nhblk_p,-0.08927002299726138
76,t10_ldb_ag60up_p t10_ldb_hisp_p,0.20448601608376432
77,t10_ldb_ag60up_p t10_ldb_col_p,0.0961781754460775
78,t10_ldb_ag60up_p t10_ldb_lep_p,0.0
79,t10_ldb_ag60up_p t10_ldb_mrenti_m,0.0072608969879056845
80,t10_ldb_ag60up_p t10_ldb_multi_p,-0.006618554791226425
81,t10_ldb_ag60up_p t10_ldb_nhwht_p,-0.0
82,t10_ldb_ag60up_p t10_ldb_asian_p,0.09588379647262192
83,t10_ldb_ag60up_p t10_ldb_fb_p,0.13050863750623398
