,feature,coef
0,1,0.0
1,t10_cen_blk_ml,0.0
2,t10_gis_area_k,0.0
3,t10_ldb_ag25dwn_p,-0.0
4,t10_ldb_ag60up_p,0.0
5,t10_ldb_asian_p,0.0
6,t10_ldb_col_p,0.3462309177740964
7,t10_ldb_fb_p,0.0
8,t10_ldb_hinci_m,0.0
9,t10_ldb_hisp_p,0.0
10,t10_ldb_hs_p,-0.3831173103369707
11,t10_ldb_lep_p,0.0
12,t10_ldb_mhmvali_m,0.045482337045467565
13,t10_ldb_mrenti_m,0.0
14,t10_ldb_multi_p,0.0
15,t10_ldb_nhblk_p,-0.0
16,t10_ldb_nhwht_p,0.0
17,t10_ldb_npov_p,-0.0
18,t10_ldb_own_p,0.16579466660476952
19,t10_ldb_pop_d,0.0
20,t10_ldb_unemp_p,-0.0
21,t10_ldb_vac_p,0.0
22,t10_use_green_k,0.0
23,t10_net_act_d,0.0
24,t10_net_amb_d,0.0
25,t10_net_apa_d,0.0
26,t10_net_aur_d,-0.0
27,t10_net_bar_d,-0.0
28,t10_net_cer_d,0.0
29,t10_net_dra_d,0.0
30,t10_net_ffa_d,-0.0
31,t10_net_fin_d,0.0
32,t10_net_fsa_d,0.0
33,t10_net_fsr_d,0.0
34,t10_net_hoi_d,-0.0
35,t10_net_hsr_d,0.0
36,t10_net_kct_d,-0.0
37,t10_net_liq_d,-0.0
38,t10_net_mul_d,0.0
39,t10_net_ngt_d,-0.0
40,t10_net_pht_d,0.0
41,t10_net_res_d,-0.0
42,t10_net_srv_d,0.0
43,t10_net_wal_d,0.0
44,t10_cen_blk_ml^2,-0.01510065977959555
45,t10_cen_blk_ml t10_gis_area_k,-0.0
46,t10_cen_blk_ml t10_ldb_ag25dwn_p,0.0
47,t10_cen_blk_ml t10_ldb_ag60up_p,0.0
48,t10_cen_blk_ml t10_ldb_asian_p,0.0
49,t10_cen_blk_ml t10_ldb_col_p,0.0
50,t10_cen_blk_ml t10_ldb_fb_p,0.0
51,t10_cen_blk_ml t10_ldb_hinci_m,0.0
52,t10_cen_blk_ml t10_ldb_hisp_p,0.0
53,t10_cen_blk_ml t10_ldb_hs_p,0.0
54,t10_cen_blk_ml t10_ldb_lep_p,0.0
55,t10_cen_blk_ml t10_ldb_mhmvali_m,0.027676010942528643
56,t10_cen_blk_ml t10_ldb_mrenti_m,0.0
57,t10_cen_blk_ml t10_ldb_multi_p,0.051731618550666554
58,t10_cen_blk_ml t10_ldb_nhblk_p,-0.0
59,t10_cen_blk_ml t10_ldb_nhwht_p,0.07609454607656234
60,t10_cen_blk_ml t10_ldb_npov_p,0.0
61,t10_cen_blk_ml t10_ldb_own_p,0.05669412764299749
62,t10_cen_blk_ml t10_ldb_pop_d,0.0
63,t10_cen_blk_ml t10_ldb_unemp_p,0.0
64,t10_cen_blk_ml t10_ldb_vac_p,0.003280701400351302
65,t10_cen_blk_ml t10_use_green_k,-0.0009792345268578103
66,t10_cen_blk_ml t10_net_act_d,0.0
67,t10_cen_blk_ml t10_net_amb_d,0.0
68,t10_cen_blk_ml t10_net_apa_d,0.0
69,t10_cen_blk_ml t10_net_aur_d,-0.0
70,t10_cen_blk_ml t10_net_bar_d,-0.0
71,t10_cen_blk_ml t10_net_cer_d,0.0
72,t10_cen_blk_ml t10_net_dra_d,0.0
73,t10_cen_blk_ml t10_net_ffa_d,-0.0
74,t10_cen_blk_ml t10_net_fin_d,0.0
75,t10_cen_blk_ml t10_net_fsa_d,0.0
76,t10_cen_blk_ml t10_net_fsr_d,0.0
77,t10_cen_blk_ml t10_net_hoi_d,-0.0
78,t10_cen_blk_ml t10_net_hsr_d,0.0
79,t10_cen_blk_ml t10_net_kct_d,-0.0
80,t10_cen_blk_ml t10_net_liq_d,-0.0
81,t10_cen_blk_ml t10_net_mul_d,0.0
82,t10_cen_blk_ml t10_net_ngt_d,-0.0
83,t10_cen_blk_ml t10_net_pht_d,0.0
84,t10_cen_blk_ml t10_net_res_d,-0.0165098870617219
85,t10_cen_blk_ml t10_net_srv_d,0.0
86,t10_cen_blk_ml t10_net_wal_d,0.0
87,t10_gis_area_k^2,-0.07011589578058171
88,t10_gis_area_k t10_ldb_ag25dwn_p,0.0
89,t10_gis_area_k t10_ldb_ag60up_p,0.017471721893462872
90,t10_gis_area_k t10_ldb_asian_p,0.0
91,t10_gis_area_k t10_ldb_col_p,0.0
92,t10_gis_area_k t10_ldb_fb_p,-0.0
93,t10_gis_area_k t10_ldb_hinci_m,0.0
94,t10_gis_area_k t10_ldb_hisp_p,-0.0
95,t10_gis_area_k t10_ldb_hs_p,0.0
