,feature,coef
0,1,0.0
1,t10_cen_blk_ml,0.0
2,t10_gis_area_k,0.0
3,t10_ldb_ag25dwn_p,-0.0
4,t10_ldb_ag60up_p,0.0
5,t10_ldb_asian_p,0.0
6,t10_ldb_col_p,0.43890314699146865
7,t10_ldb_fb_p,0.0
8,t10_ldb_hinci_m,0.0
9,t10_ldb_hisp_p,0.0
10,t10_ldb_hs_p,-0.8536025102916978
11,t10_ldb_lep_p,0.0
12,t10_ldb_mhmvali_m,0.05754498006117368
13,t10_ldb_mrenti_m,0.0
14,t10_ldb_multi_p,0.0
15,t10_ldb_nhblk_p,-0.0
16,t10_ldb_nhwht_p,0.0
17,t10_ldb_npov_p,-0.11469863757418777
18,t10_ldb_own_p,0.23955634250969432
19,t10_ldb_pop_d,0.0
20,t10_ldb_unemp_p,-0.0
21,t10_ldb_vac_p,-0.0
22,t10_use_green_k,0.0
23,t10_net_act_d,0.0
24,t10_net_amb_d,0.0
25,t10_net_apa_d,0.0
26,t10_net_aur_d,-0.0
27,t10_net_bar_d,-0.0
28,t10_net_cer_d,0.0
29,t10_net_dra_d,0.0
30,t10_net_ffa_d,-0.0
31,t10_net_fin_d,0.0
32,t10_net_fsa_d,0.0
33,t10_net_fsr_d,0.0
34,t10_net_hoi_d,-0.0
35,t10_net_hsr_d,0.0
36,t10_net_kct_d,-0.0
37,t10_net_liq_d,-0.0
38,t10_net_mul_d,0.0
39,t10_net_ngt_d,-0.0
40,t10_net_pht_d,0.0
41,t10_net_res_d,-0.0
42,t10_net_srv_d,-0.0
43,t10_net_wal_d,0.0
44,t10_cen_blk_ml^2,-0.06431480085419611
45,t10_cen_blk_ml t10_gis_area_k,-0.0
46,t10_cen_blk_ml t10_ldb_ag25dwn_p,0.0
47,t10_cen_blk_ml t10_ldb_ag60up_p,0.0
48,t10_cen_blk_ml t10_ldb_asian_p,0.0
49,t10_cen_blk_ml t10_ldb_col_p,0.0
50,t10_cen_blk_ml t10_ldb_fb_p,0.0
51,t10_cen_blk_ml t10_ldb_hinci_m,0.0
52,t10_cen_blk_ml t10_ldb_hisp_p,0.0
53,t10_cen_blk_ml t10_ldb_hs_p,0.011365784248752541
54,t10_cen_blk_ml t10_ldb_lep_p,0.0
55,t10_cen_blk_ml t10_ldb_mhmvali_m,0.007590870935430322
56,t10_cen_blk_ml t10_ldb_mrenti_m,0.0
57,t10_cen_blk_ml t10_ldb_multi_p,0.08241102175661731
58,t10_cen_blk_ml t10_ldb_nhblk_p,-0.0
59,t10_cen_blk_ml t10_ldb_nhwht_p,0.1270498953652873
60,t10_cen_blk_ml t10_ldb_npov_p,0.0
61,t10_cen_blk_ml t10_ldb_own_p,0.037312299469573436
62,t10_cen_blk_ml t10_ldb_pop_d,0.0
63,t10_cen_blk_ml t10_ldb_unemp_p,0.010732062766068648
64,t10_cen_blk_ml t10_ldb_vac_p,0.04038882481372785
65,t10_cen_blk_ml t10_use_green_k,-0.02415743883312829
66,t10_cen_blk_ml t10_net_act_d,0.0
67,t10_cen_blk_ml t10_net_amb_d,0.0
68,t10_cen_blk_ml t10_net_apa_d,0.0
69,t10_cen_blk_ml t10_net_aur_d,-0.0
70,t10_cen_blk_ml t10_net_bar_d,-0.0
71,t10_cen_blk_ml t10_net_cer_d,0.0
72,t10_cen_blk_ml t10_net_dra_d,0.0
73,t10_cen_blk_ml t10_net_ffa_d,-0.0
74,t10_cen_blk_ml t10_net_fin_d,0.0
75,t10_cen_blk_ml t10_net_fsa_d,-0.0
76,t10_cen_blk_ml t10_net_fsr_d,0.0
77,t10_cen_blk_ml t10_net_hoi_d,-0.0
78,t10_cen_blk_ml t10_net_hsr_d,0.0
79,t10_cen_blk_ml t10_net_kct_d,-0.0
80,t10_cen_blk_ml t10_net_liq_d,-0.0
81,t10_cen_blk_ml t10_net_mul_d,0.0
82,t10_cen_blk_ml t10_net_ngt_d,-0.0
83,t10_cen_blk_ml t10_net_pht_d,0.0
84,t10_cen_blk_ml t10_net_res_d,-0.0
85,t10_cen_blk_ml t10_net_srv_d,-0.0
86,t10_cen_blk_ml t10_net_wal_d,0.0
87,t10_gis_area_k^2,-0.07592868220021608
88,t10_gis_area_k t10_ldb_ag25dwn_p,0.0
89,t10_gis_area_k t10_ldb_ag60up_p,0.04578393153319699
90,t10_gis_area_k t10_ldb_asian_p,-0.0
91,t10_gis_area_k t10_ldb_col_p,0.0
92,t10_gis_area_k t10_ldb_fb_p,-0.0
93,t10_gis_area_k t10_ldb_hinci_m,0.0
94,t10_gis_area_k t10_ldb_hisp_p,0.0
