,feature,coef
0,1,0.0
1,t10_ldb_hinci_m,-0.17167968247265797
2,t10_ldb_pop_d,0.12199334301639266
3,t10_ldb_ag25dwn_p,0.34660420474924064
4,t10_ldb_ag60up_p,0.32314974686577125
5,t10_ldb_nhblk_p,-0.01429756491140765
6,t10_ldb_hisp_p,0.6313149300589466
7,t10_ldb_col_p,0.47577589402325465
8,t10_ldb_lep_p,0.3953678280292873
9,t10_ldb_mrenti_m,-0.07483372594066888
10,t10_ldb_multi_p,0.3618955898448656
11,t10_ldb_nhwht_p,0.6506442060964333
12,t10_ldb_asian_p,0.18949092964805048
13,t10_ldb_fb_p,0.5593351925601903
14,t10_ldb_hs_p,-0.7992025938056563
15,t10_ldb_unemp_p,-0.24495885162925238
16,t10_ldb_npov_p,-0.7839690021037988
17,t10_ldb_vac_p,-0.0017925657144730145
18,t10_ldb_own_p,1.0391972425523202
19,t10_ldb_mhmvali_m,0.6756807953851297
